Index:	FREQUENCY:	AMPLITUDE:	BIAS:	GAMMA:	Pressure:	TimeMark:
000000195	140019.400	000.005476	-0.456019	6.003865e-09	0.0e+00	00:00:34.922
000000196	140019.500	-00.013673	-0.454203	-1.505141e-08	0.0e+00	00:00:35.094
000000197	140019.600	-00.011506	-0.452804	-1.270508e-08	0.0e+00	00:00:35.281
000000198	140019.700	000.004099	-0.454163	4.512582e-09	0.0e+00	00:00:35.453
000000199	140019.800	000.013074	-0.452853	1.443540e-08	0.0e+00	00:00:35.641
000000200	140019.900	-00.004250	-0.453544	-4.685429e-09	0.0e+00	00:00:35.813
000000201	140020.000	-00.030038	-0.455013	-3.300791e-08	0.0e+00	00:00:36.000
000000202	140020.100	000.004360	-0.452552	4.816702e-09	0.0e+00	00:00:36.188
000000203	140020.200	-00.043235	-0.451936	-4.783354e-08	0.0e+00	00:00:36.359
000000204	140020.300	-00.023384	-0.451382	-2.590293e-08	0.0e+00	00:00:36.547
000000205	140020.400	000.004669	-0.453082	5.152745e-09	0.0e+00	00:00:36.734
000000206	140020.500	000.002581	-0.455842	2.831244e-09	0.0e+00	00:00:36.906
000000207	140020.600	-00.047698	-0.454156	-5.251279e-08	0.0e+00	00:00:37.094
000000208	140020.700	-00.048501	-0.454734	-5.332947e-08	0.0e+00	00:00:37.266
000000209	140020.800	-00.069010	-0.455073	-7.582254e-08	0.0e+00	00:00:37.453
000000210	140020.900	-00.011154	-0.454807	-1.226235e-08	0.0e+00	00:00:37.625
000000211	140021.000	-00.043216	-0.453774	-4.761878e-08	0.0e+00	00:00:37.813
000000212	140021.100	-00.053856	-0.453918	-5.932406e-08	0.0e+00	00:00:37.984
000000213	140021.200	-00.042941	-0.452863	-4.741103e-08	0.0e+00	00:00:38.172
000000214	140021.300	-00.054712	-0.452580	-6.044408e-08	0.0e+00	00:00:38.344
000000215	140021.400	-00.035423	-0.453764	-3.903229e-08	0.0e+00	00:00:38.531
000000216	140021.500	-00.028732	-0.452432	-3.175246e-08	0.0e+00	00:00:38.703
000000217	140021.600	-00.039780	-0.452917	-4.391526e-08	0.0e+00	00:00:38.891
000000218	140021.700	-00.029974	-0.451458	-3.319729e-08	0.0e+00	00:00:39.078
000000219	140021.800	-00.016564	-0.451943	-1.832574e-08	0.0e+00	00:00:39.250
000000220	140021.900	-00.037368	-0.452726	-4.126992e-08	0.0e+00	00:00:39.438
000000221	140022.000	-00.068306	-0.452145	-7.553517e-08	0.0e+00	00:00:39.609
000000222	140022.100	-00.033954	-0.451818	-3.757538e-08	0.0e+00	00:00:39.797
000000223	140022.200	-00.017396	-0.452399	-1.922676e-08	0.0e+00	00:00:39.969
000000224	140022.300	-00.033783	-0.451618	-3.740234e-08	0.0e+00	00:00:40.156
000000225	140022.400	-00.030593	-0.451273	-3.389657e-08	0.0e+00	00:00:40.328
000000226	140022.500	-00.020912	-0.452000	-2.313296e-08	0.0e+00	00:00:40.516
000000227	140022.600	-00.046994	-0.451356	-5.205865e-08	0.0e+00	00:00:40.688
000000228	140022.700	-00.074365	-0.451159	-8.241503e-08	0.0e+00	00:00:40.875
000000229	140022.800	-00.050561	-0.450495	-5.611693e-08	0.0e+00	00:00:41.047
000000230	140022.900	-00.049243	-0.450042	-5.470973e-08	0.0e+00	00:00:41.234
000000231	140023.000	-00.028846	-0.451106	-3.197303e-08	0.0e+00	00:00:41.422
000000232	140023.100	-00.045057	-0.450881	-4.996543e-08	0.0e+00	00:00:41.594
000000233	140023.200	-00.071547	-0.450582	-7.939390e-08	0.0e+00	00:00:41.781
000000234	140023.300	-00.027040	-0.451559	-2.994085e-08	0.0e+00	00:00:41.953
000000235	140023.400	-00.072202	-0.450170	-8.019450e-08	0.0e+00	00:00:42.141
000000236	140023.500	-00.041763	-0.449952	-4.640842e-08	0.0e+00	00:00:42.313
000000237	140023.600	-00.082911	-0.450863	-9.194679e-08	0.0e+00	00:00:42.500
000000238	140023.700	-00.042177	-0.450329	-4.682865e-08	0.0e+00	00:00:42.672
000000239	140023.800	-00.065103	-0.450358	-7.227871e-08	0.0e+00	00:00:42.859
000000240	140023.900	-00.041750	-0.448402	-4.655399e-08	0.0e+00	00:00:43.031
000000241	140024.000	-00.049540	-0.447951	-5.529634e-08	0.0e+00	00:00:43.219
000000242	140024.100	-00.046294	-0.448396	-5.162227e-08	0.0e+00	00:00:43.406
000000243	140024.200	-00.056479	-0.447251	-6.314014e-08	0.0e+00	00:00:43.578
000000244	140024.300	-00.024564	-0.448537	-2.738247e-08	0.0e+00	00:00:43.766
000000245	140024.400	-00.068601	-0.449393	-7.632622e-08	0.0e+00	00:00:43.938
000000246	140024.500	-00.033415	-0.448142	-3.728144e-08	0.0e+00	00:00:44.125
000000247	140024.600	-00.052288	-0.448302	-5.831803e-08	0.0e+00	00:00:44.297
000000248	140024.700	-00.044669	-0.449683	-4.966745e-08	0.0e+00	00:00:44.484
000000249	140024.800	-00.028650	-0.449497	-3.186933e-08	0.0e+00	00:00:44.656
000000250	140024.900	-00.063319	-0.449738	-7.039541e-08	0.0e+00	00:00:44.844
000000251	140025.000	-00.062263	-0.447048	-6.963744e-08	0.0e+00	00:00:45.016
000000252	140025.100	-00.069693	-0.449023	-7.760559e-08	0.0e+00	00:00:45.203
000000253	140025.200	-00.060857	-0.449450	-6.770186e-08	0.0e+00	00:00:45.391
000000254	140025.300	-00.025974	-0.448777	-2.893870e-08	0.0e+00	00:00:45.563
000000255	140025.400	-00.033240	-0.448849	-3.702769e-08	0.0e+00	00:00:45.750
000000256	140025.500	-00.046694	-0.449364	-5.195530e-08	0.0e+00	00:00:45.922
000000257	140025.600	-00.067101	-0.448600	-7.478972e-08	0.0e+00	00:00:46.109
000000258	140025.700	-00.059752	-0.448226	-6.665433e-08	0.0e+00	00:00:46.281
000000259	140025.800	-00.085617	-0.448995	-9.534267e-08	0.0e+00	00:00:46.469
000000260	140025.900	-00.070544	-0.447965	-7.873844e-08	0.0e+00	00:00:46.656
000000261	140026.000	-00.066953	-0.448463	-7.464764e-08	0.0e+00	00:00:46.844
000000262	140026.100	-00.008223	-0.449387	-9.148609e-09	0.0e+00	00:00:47.016
000000263	140026.200	-00.064057	-0.449229	-7.129698e-08	0.0e+00	00:00:47.203
000000264	140026.300	-00.072181	-0.449551	-8.028140e-08	0.0e+00	00:00:47.375
000000265	140026.400	-00.039310	-0.450138	-4.366400e-08	0.0e+00	00:00:47.563
000000266	140026.500	-00.004127	-0.449110	-4.595197e-09	0.0e+00	00:00:47.750
000000267	140026.600	-00.043106	-0.448824	-4.802117e-08	0.0e+00	00:00:47.922
000000268	140026.700	-00.002188	-0.447541	-2.444056e-09	0.0e+00	00:00:48.109
000000269	140026.800	-00.051939	-0.447184	-5.807307e-08	0.0e+00	00:00:48.281
